"Ano Mes.Ano Mes";SOJA/EM GRÃOS/PRIMAVERA DO LESTE-MT/Preco Medio Comercializado
"JAN-2020";75.74
"FEV-2020";75.43
"MAR-2020";82.64
"ABR-2020";90.86
"MAI-2020";98.83
"JUN-2020";98.43
"JUL-2020";107.7
"AGO-2020";121.36
"SET-2020";138.8
"OUT-2020";162.39
"NOV-2020";174.31
"DEZ-2020";150.24
"JAN-2021";152.55
"FEV-2021";153.85
"MAR-2021";159.85
"ABR-2021";164.55
"MAI-2021";167.1
"JUN-2021";151.7
"JUL-2021";159.23
"AGO-2021";169.14
"SET-2021";166.93
"OUT-2021";161.81
"NOV-2021";153.75
"DEZ-2021";154.22
"JAN-2022";166.17
"FEV-2022";177.11
"MAR-2022";183.32
"ABR-2022";167.52
"MAI-2022";173.02
"JUN-2022";171.57
"JUL-2022";167.9
"AGO-2022";166.77
"SET-2022";165.18
"OUT-2022";164.91
"NOV-2022";167.34
"DEZ-2022";163.91
"JAN-2023";159.41
"FEV-2023";152.08
"MAR-2023";144.83
"ABR-2023";127.65
"MAI-2023";115.63
"JUN-2023";111.59
"JUL-2023";118.79
"AGO-2023";122.59
"SET-2023";123.69
"OUT-2023";121.93
"NOV-2023";125.23
"DEZ-2023";127.79
"JAN-2024";112.96
"FEV-2024";100.86
"MAR-2024";107.05
"ABR-2024";112.41
"MAI-2024";118.69
"JUN-2024";122.95
"JUL-2024";124.48
"AGO-2024";122.55
"SET-2024";129.05
"OUT-2024";135.89
"NOV-2024";146.48
"DEZ-2024";134.11
"JAN-2025";118.24
"FEV-2025";110.85
"MAR-2025";113.02
"ABR-2025";114.61
"MAI-2025";112.91
"JUN-2025";113.64
"JUL-2025";117.0
"AGO-2025";123.6
"SET-2025";123.61
"OUT-2025";122.46
